case,reduce_frac,train_n_class1,train_n_class2,distribution,class1_errors,class1_error_rate,class2_errors,class2_error_rate,total_errors,min_error_rate,error_upper_bound
1,,60000,140000,true,14685,0.2447,5461,0.039,20146,0.1007,0.0483
1,,60000,140000,estimated,14757,0.246,5440,0.0389,20197,0.101,0.0488
1,0.0001,6,14,true,14685,0.2447,5461,0.039,20146,0.1007,0.0483
1,0.0001,6,14,estimated,42061,0.701,1894,0.0135,43955,0.2198,0.0292
1,0.001,60,140,true,14685,0.2447,5461,0.039,20146,0.1007,0.0483
1,0.001,60,140,estimated,11743,0.1957,6791,0.0485,18534,0.0927,0.04
1,0.01,600,1400,true,14685,0.2447,5461,0.039,20146,0.1007,0.0483
1,0.01,600,1400,estimated,13463,0.2244,6122,0.0437,19585,0.0979,0.0512
1,0.1,6000,14000,true,14685,0.2447,5461,0.039,20146,0.1007,0.0483
1,0.1,6000,14000,estimated,14329,0.2388,5615,0.0401,19944,0.0997,0.0487
3,,60000,140000,true,5082,0.0847,10151,0.0725,15233,0.0762,0.1614
3,,60000,140000,estimated,5033,0.0839,10183,0.0727,15216,0.0761,0.1618
3,0.0001,6,14,true,5082,0.0847,10151,0.0725,15233,0.0762,0.1614
3,0.0001,6,14,estimated,19579,0.3263,6901,0.0493,26480,0.1324,0.1579
3,0.001,60,140,true,5082,0.0847,10151,0.0725,15233,0.0762,0.1614
3,0.001,60,140,estimated,4763,0.0794,10496,0.075,15259,0.0763,0.1533
3,0.01,600,1400,true,5082,0.0847,10151,0.0725,15233,0.0762,0.1614
3,0.01,600,1400,estimated,4926,0.0821,10329,0.0738,15255,0.0763,0.16
3,0.1,6000,14000,true,5082,0.0847,10151,0.0725,15233,0.0762,0.1614
3,0.1,6000,14000,estimated,4943,0.0824,10265,0.0733,15208,0.076,0.1596
